threshold,false_positive_rate,true_positive_rate,youden_j,cumulative_risky,cumulative_favorable,ks_gap,population_share
0.9679972529411316,0.0,0.0774487471526196,0.0774487471526196,0.0774487471526196,0.0,0.0774487471526196,0.034
0.9679883122444153,0.0,0.07801822323462415,0.07801822323462415,0.07801822323462415,0.0,0.07801822323462415,0.03425
0.9679277539253235,0.0,0.07915717539863326,0.07915717539863326,0.07915717539863326,0.0,0.07915717539863326,0.03475
0.9673371911048889,0.0,0.07972665148063782,0.07972665148063782,0.07972665148063782,0.0,0.07972665148063782,0.035
0.9672631621360779,0.0,0.08029612756264237,0.08029612756264237,0.08029612756264237,0.0,0.08029612756264237,0.03525
0.966944694519043,0.0,0.08086560364464693,0.08086560364464693,0.08086560364464693,0.0,0.08086560364464693,0.0355
0.9667354226112366,0.0,0.08200455580865604,0.08200455580865604,0.08200455580865604,0.0,0.08200455580865604,0.036
0.9665864109992981,0.0,0.08257403189066059,0.08257403189066059,0.08257403189066059,0.0,0.08257403189066059,0.03625
0.965974748134613,0.0,0.08314350797266515,0.08314350797266515,0.08314350797266515,0.0,0.08314350797266515,0.0365
0.9659627676010132,0.0,0.0837129840546697,0.0837129840546697,0.0837129840546697,0.0,0.0837129840546697,0.03675
0.9659282565116882,0.0,0.08485193621867881,0.08485193621867881,0.08485193621867881,0.0,0.08485193621867881,0.03725
0.9658293128013611,0.0,0.08599088838268792,0.08599088838268792,0.08599088838268792,0.0,0.08599088838268792,0.03775
0.9657103419303894,0.0,0.08656036446469248,0.08656036446469248,0.08656036446469248,0.0,0.08656036446469248,0.038
0.9655947089195251,0.0,0.08712984054669703,0.08712984054669703,0.08712984054669703,0.0,0.08712984054669703,0.03825
0.9655890464782715,0.0,0.08769931662870159,0.08769931662870159,0.08769931662870159,0.0,0.08769931662870159,0.0385
0.9652280807495117,0.0,0.08826879271070615,0.08826879271070615,0.08826879271070615,0.0,0.08826879271070615,0.03875
0.9650599360466003,0.0,0.0888382687927107,0.0888382687927107,0.0888382687927107,0.0,0.0888382687927107,0.039
0.9649326205253601,0.0,0.08940774487471526,0.08940774487471526,0.08940774487471526,0.0,0.08940774487471526,0.03925
0.9649282693862915,0.0,0.08997722095671981,0.08997722095671981,0.08997722095671981,0.0,0.08997722095671981,0.0395
0.9647672772407532,0.0,0.09054669703872438,0.09054669703872438,0.09054669703872438,0.0,0.09054669703872438,0.03975
0.9647641777992249,0.0,0.09111617312072894,0.09111617312072894,0.09111617312072894,0.0,0.09111617312072894,0.04
0.9646549820899963,0.0,0.09168564920273349,0.09168564920273349,0.09168564920273349,0.0,0.09168564920273349,0.04025
0.9645788073539734,0.0,0.09225512528473805,0.09225512528473805,0.09225512528473805,0.0,0.09225512528473805,0.0405
0.9645022749900818,0.0,0.09339407744874716,0.09339407744874716,0.09339407744874716,0.0,0.09339407744874716,0.041
0.9643893837928772,0.0,0.09396355353075171,0.09396355353075171,0.09396355353075171,0.0,0.09396355353075171,0.04125
0.9642278552055359,0.0,0.09453302961275627,0.09453302961275627,0.09453302961275627,0.0,0.09453302961275627,0.0415
0.9641575217247009,0.0,0.09510250569476082,0.09510250569476082,0.09510250569476082,0.0,0.09510250569476082,0.04175
0.9640694260597229,0.0,0.09567198177676538,0.09567198177676538,0.09567198177676538,0.0,0.09567198177676538,0.042
0.9639092087745667,0.0,0.09681093394077449,0.09681093394077449,0.09681093394077449,0.0,0.09681093394077449,0.0425
0.9635445475578308,0.0,0.09738041002277904,0.09738041002277904,0.09738041002277904,0.0,0.09738041002277904,0.04275
0.9635156393051147,0.0,0.0979498861047836,0.0979498861047836,0.0979498861047836,0.0,0.0979498861047836,0.043
0.96347975730896,0.0,0.10421412300683372,0.10421412300683372,0.10421412300683372,0.0,0.10421412300683372,0.04575
0.9633651375770569,0.0,0.10478359908883828,0.10478359908883828,0.10478359908883828,0.0,0.10478359908883828,0.046
0.9627015590667725,0.0,0.10535307517084283,0.10535307517084283,0.10535307517084283,0.0,0.10535307517084283,0.04625
0.9624802470207214,0.0,0.10592255125284739,0.10592255125284739,0.10592255125284739,0.0,0.10592255125284739,0.0465
0.9622558951377869,0.0,0.11275626423690205,0.11275626423690205,0.11275626423690205,0.0,0.11275626423690205,0.0495
0.9622213244438171,0.0,0.1133257403189066,0.1133257403189066,0.1133257403189066,0.0,0.1133257403189066,0.04975
0.962209939956665,0.0,0.11389521640091116,0.11389521640091116,0.11389521640091116,0.0,0.11389521640091116,0.05
0.9616624116897583,0.0,0.11446469248291571,0.11446469248291571,0.11446469248291571,0.0,0.11446469248291571,0.05025
